Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,
75% Corpus,2,0.01,0.31,
75% Corpus,2,0.01,0.61,0.73892918054389
75% Corpus,2,0.01,0.9099999999999999,
75% Corpus,2,0.01,symmetric,
75% Corpus,2,0.31,0.01,
75% Corpus,2,0.31,0.31,
75% Corpus,2,0.31,0.61,
75% Corpus,2,0.31,0.9099999999999999,
75% Corpus,2,0.31,symmetric,
75% Corpus,2,0.61,0.01,
75% Corpus,2,0.61,0.31,
75% Corpus,2,0.61,0.61,
75% Corpus,2,0.61,0.9099999999999999,
75% Corpus,2,0.61,symmetric,
75% Corpus,2,0.9099999999999999,0.01,
75% Corpus,2,0.9099999999999999,0.31,
75% Corpus,2,0.9099999999999999,0.61,
75% Corpus,2,0.9099999999999999,0.9099999999999999,
75% Corpus,2,0.9099999999999999,symmetric,
75% Corpus,2,symmetric,0.01,
75% Corpus,2,symmetric,0.31,
75% Corpus,2,symmetric,0.61,
75% Corpus,2,symmetric,0.9099999999999999,
75% Corpus,2,symmetric,symmetric,
75% Corpus,2,asymmetric,0.01,0.7549786939408818
75% Corpus,2,asymmetric,0.31,0.7582256111204289
75% Corpus,2,asymmetric,0.61,
75% Corpus,2,asymmetric,0.9099999999999999,
75% Corpus,2,asymmetric,symmetric,
75% Corpus,3,0.01,0.01,
75% Corpus,3,0.01,0.31,
75% Corpus,3,0.01,0.61,
75% Corpus,3,0.01,0.9099999999999999,
75% Corpus,3,0.01,symmetric,
75% Corpus,3,0.31,0.01,
75% Corpus,3,0.31,0.31,
75% Corpus,3,0.31,0.61,
75% Corpus,3,0.31,0.9099999999999999,
75% Corpus,3,0.31,symmetric,
75% Corpus,3,0.61,0.01,
75% Corpus,3,0.61,0.31,
75% Corpus,3,0.61,0.61,
75% Corpus,3,0.61,0.9099999999999999,
75% Corpus,3,0.61,symmetric,
75% Corpus,3,0.9099999999999999,0.01,
75% Corpus,3,0.9099999999999999,0.31,
75% Corpus,3,0.9099999999999999,0.61,
75% Corpus,3,0.9099999999999999,0.9099999999999999,
75% Corpus,3,0.9099999999999999,symmetric,
75% Corpus,3,symmetric,0.01,
75% Corpus,3,symmetric,0.31,
75% Corpus,3,symmetric,0.61,
75% Corpus,3,symmetric,0.9099999999999999,
75% Corpus,3,symmetric,symmetric,
75% Corpus,3,asymmetric,0.01,
75% Corpus,3,asymmetric,0.31,
75% Corpus,3,asymmetric,0.61,0.7392775636005897
75% Corpus,3,asymmetric,0.9099999999999999,
75% Corpus,3,asymmetric,symmetric,
75% Corpus,4,0.01,0.01,
75% Corpus,4,0.01,0.31,
75% Corpus,4,0.01,0.61,
75% Corpus,4,0.01,0.9099999999999999,
75% Corpus,4,0.01,symmetric,
75% Corpus,4,0.31,0.01,
75% Corpus,4,0.31,0.31,
75% Corpus,4,0.31,0.61,
75% Corpus,4,0.31,0.9099999999999999,
75% Corpus,4,0.31,symmetric,
75% Corpus,4,0.61,0.01,
75% Corpus,4,0.61,0.31,
75% Corpus,4,0.61,0.61,
75% Corpus,4,0.61,0.9099999999999999,
75% Corpus,4,0.61,symmetric,
75% Corpus,4,0.9099999999999999,0.01,
75% Corpus,4,0.9099999999999999,0.31,
75% Corpus,4,0.9099999999999999,0.61,
75% Corpus,4,0.9099999999999999,0.9099999999999999,
75% Corpus,4,0.9099999999999999,symmetric,
75% Corpus,4,symmetric,0.01,
75% Corpus,4,symmetric,0.31,
75% Corpus,4,symmetric,0.61,
75% Corpus,4,symmetric,0.9099999999999999,
75% Corpus,4,symmetric,symmetric,
75% Corpus,4,asymmetric,0.01,
75% Corpus,4,asymmetric,0.31,
75% Corpus,4,asymmetric,0.61,
75% Corpus,4,asymmetric,0.9099999999999999,0.665350331865896
75% Corpus,4,asymmetric,symmetric,
75% Corpus,5,0.01,0.01,
75% Corpus,5,0.01,0.31,
75% Corpus,5,0.01,0.61,
75% Corpus,5,0.01,0.9099999999999999,
75% Corpus,5,0.01,symmetric,
75% Corpus,5,0.31,0.01,
75% Corpus,5,0.31,0.31,
75% Corpus,5,0.31,0.61,
75% Corpus,5,0.31,0.9099999999999999,
75% Corpus,5,0.31,symmetric,
75% Corpus,5,0.61,0.01,
75% Corpus,5,0.61,0.31,
75% Corpus,5,0.61,0.61,
75% Corpus,5,0.61,0.9099999999999999,
75% Corpus,5,0.61,symmetric,
75% Corpus,5,0.9099999999999999,0.01,
75% Corpus,5,0.9099999999999999,0.31,
75% Corpus,5,0.9099999999999999,0.61,
75% Corpus,5,0.9099999999999999,0.9099999999999999,
75% Corpus,5,0.9099999999999999,symmetric,
75% Corpus,5,symmetric,0.01,
75% Corpus,5,symmetric,0.31,
75% Corpus,5,symmetric,0.61,
75% Corpus,5,symmetric,0.9099999999999999,0.7636094101626428
75% Corpus,5,symmetric,symmetric,
75% Corpus,5,asymmetric,0.01,
75% Corpus,5,asymmetric,0.31,
75% Corpus,5,asymmetric,0.61,
75% Corpus,5,asymmetric,0.9099999999999999,
75% Corpus,5,asymmetric,symmetric,
75% Corpus,6,0.01,0.01,
75% Corpus,6,0.01,0.31,
75% Corpus,6,0.01,0.61,
75% Corpus,6,0.01,0.9099999999999999,
75% Corpus,6,0.01,symmetric,
75% Corpus,6,0.31,0.01,
75% Corpus,6,0.31,0.31,
75% Corpus,6,0.31,0.61,
75% Corpus,6,0.31,0.9099999999999999,
75% Corpus,6,0.31,symmetric,
75% Corpus,6,0.61,0.01,
75% Corpus,6,0.61,0.31,
75% Corpus,6,0.61,0.61,
75% Corpus,6,0.61,0.9099999999999999,
75% Corpus,6,0.61,symmetric,
75% Corpus,6,0.9099999999999999,0.01,
75% Corpus,6,0.9099999999999999,0.31,
75% Corpus,6,0.9099999999999999,0.61,
75% Corpus,6,0.9099999999999999,0.9099999999999999,
75% Corpus,6,0.9099999999999999,symmetric,
75% Corpus,6,symmetric,0.01,
75% Corpus,6,symmetric,0.31,
75% Corpus,6,symmetric,0.61,
75% Corpus,6,symmetric,0.9099999999999999,
75% Corpus,6,symmetric,symmetric,
75% Corpus,6,asymmetric,0.01,
75% Corpus,6,asymmetric,0.31,
75% Corpus,6,asymmetric,0.61,
75% Corpus,6,asymmetric,0.9099999999999999,
75% Corpus,6,asymmetric,symmetric,
75% Corpus,7,0.01,0.01,
75% Corpus,7,0.01,0.31,
75% Corpus,7,0.01,0.61,
75% Corpus,7,0.01,0.9099999999999999,
75% Corpus,7,0.01,symmetric,
75% Corpus,7,0.31,0.01,
75% Corpus,7,0.31,0.31,
75% Corpus,7,0.31,0.61,
75% Corpus,7,0.31,0.9099999999999999,
75% Corpus,7,0.31,symmetric,
75% Corpus,7,0.61,0.01,
75% Corpus,7,0.61,0.31,
75% Corpus,7,0.61,0.61,
75% Corpus,7,0.61,0.9099999999999999,
75% Corpus,7,0.61,symmetric,
75% Corpus,7,0.9099999999999999,0.01,
75% Corpus,7,0.9099999999999999,0.31,
75% Corpus,7,0.9099999999999999,0.61,
75% Corpus,7,0.9099999999999999,0.9099999999999999,
75% Corpus,7,0.9099999999999999,symmetric,
75% Corpus,7,symmetric,0.01,
75% Corpus,7,symmetric,0.31,
75% Corpus,7,symmetric,0.61,
75% Corpus,7,symmetric,0.9099999999999999,
75% Corpus,7,symmetric,symmetric,
75% Corpus,7,asymmetric,0.01,
75% Corpus,7,asymmetric,0.31,
75% Corpus,7,asymmetric,0.61,
75% Corpus,7,asymmetric,0.9099999999999999,
75% Corpus,7,asymmetric,symmetric,
75% Corpus,8,0.01,0.01,
75% Corpus,8,0.01,0.31,
75% Corpus,8,0.01,0.61,
75% Corpus,8,0.01,0.9099999999999999,
75% Corpus,8,0.01,symmetric,
75% Corpus,8,0.31,0.01,
75% Corpus,8,0.31,0.31,
75% Corpus,8,0.31,0.61,
75% Corpus,8,0.31,0.9099999999999999,
75% Corpus,8,0.31,symmetric,
75% Corpus,8,0.61,0.01,
75% Corpus,8,0.61,0.31,
75% Corpus,8,0.61,0.61,
75% Corpus,8,0.61,0.9099999999999999,
75% Corpus,8,0.61,symmetric,
75% Corpus,8,0.9099999999999999,0.01,
75% Corpus,8,0.9099999999999999,0.31,
75% Corpus,8,0.9099999999999999,0.61,
75% Corpus,8,0.9099999999999999,0.9099999999999999,
75% Corpus,8,0.9099999999999999,symmetric,
75% Corpus,8,symmetric,0.01,
75% Corpus,8,symmetric,0.31,
75% Corpus,8,symmetric,0.61,
75% Corpus,8,symmetric,0.9099999999999999,
75% Corpus,8,symmetric,symmetric,
75% Corpus,8,asymmetric,0.01,
75% Corpus,8,asymmetric,0.31,
75% Corpus,8,asymmetric,0.61,
75% Corpus,8,asymmetric,0.9099999999999999,
75% Corpus,8,asymmetric,symmetric,
75% Corpus,9,0.01,0.01,
75% Corpus,9,0.01,0.31,
75% Corpus,9,0.01,0.61,
75% Corpus,9,0.01,0.9099999999999999,
75% Corpus,9,0.01,symmetric,
75% Corpus,9,0.31,0.01,
75% Corpus,9,0.31,0.31,
75% Corpus,9,0.31,0.61,
75% Corpus,9,0.31,0.9099999999999999,
75% Corpus,9,0.31,symmetric,
75% Corpus,9,0.61,0.01,
75% Corpus,9,0.61,0.31,
75% Corpus,9,0.61,0.61,
75% Corpus,9,0.61,0.9099999999999999,
75% Corpus,9,0.61,symmetric,
75% Corpus,9,0.9099999999999999,0.01,
75% Corpus,9,0.9099999999999999,0.31,
75% Corpus,9,0.9099999999999999,0.61,
75% Corpus,9,0.9099999999999999,0.9099999999999999,
75% Corpus,9,0.9099999999999999,symmetric,
75% Corpus,9,symmetric,0.01,
75% Corpus,9,symmetric,0.31,
75% Corpus,9,symmetric,0.61,
75% Corpus,9,symmetric,0.9099999999999999,
75% Corpus,9,symmetric,symmetric,
75% Corpus,9,asymmetric,0.01,
75% Corpus,9,asymmetric,0.31,
75% Corpus,9,asymmetric,0.61,
75% Corpus,9,asymmetric,0.9099999999999999,
75% Corpus,9,asymmetric,symmetric,
75% Corpus,10,0.01,0.01,
75% Corpus,10,0.01,0.31,
75% Corpus,10,0.01,0.61,
75% Corpus,10,0.01,0.9099999999999999,
75% Corpus,10,0.01,symmetric,
75% Corpus,10,0.31,0.01,
75% Corpus,10,0.31,0.31,
75% Corpus,10,0.31,0.61,
75% Corpus,10,0.31,0.9099999999999999,
75% Corpus,10,0.31,symmetric,
75% Corpus,10,0.61,0.01,
75% Corpus,10,0.61,0.31,
75% Corpus,10,0.61,0.61,
75% Corpus,10,0.61,0.9099999999999999,
75% Corpus,10,0.61,symmetric,
75% Corpus,10,0.9099999999999999,0.01,
75% Corpus,10,0.9099999999999999,0.31,
75% Corpus,10,0.9099999999999999,0.61,
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.7534219182650392
75% Corpus,10,0.9099999999999999,symmetric,
75% Corpus,10,symmetric,0.01,
75% Corpus,10,symmetric,0.31,
75% Corpus,10,symmetric,0.61,
75% Corpus,10,symmetric,0.9099999999999999,
75% Corpus,10,symmetric,symmetric,
75% Corpus,10,asymmetric,0.01,
75% Corpus,10,asymmetric,0.31,
75% Corpus,10,asymmetric,0.61,
75% Corpus,10,asymmetric,0.9099999999999999,
75% Corpus,10,asymmetric,symmetric,
100% Corpus,2,0.01,0.01,0.7488491894036334
100% Corpus,2,0.01,0.31,0.728626329258439
100% Corpus,2,0.01,0.61,0.7497872306295226
100% Corpus,2,0.01,0.9099999999999999,0.7397579965415249
100% Corpus,2,0.01,symmetric,0.7599308343962341
100% Corpus,2,0.31,0.01,0.7510429052076117
100% Corpus,2,0.31,0.31,0.7518643998051857
100% Corpus,2,0.31,0.61,0.7445650643092023
100% Corpus,2,0.31,0.9099999999999999,0.7463422883371447
100% Corpus,2,0.31,symmetric,0.7432547489388113
100% Corpus,2,0.61,0.01,0.7474757674314394
100% Corpus,2,0.61,0.31,0.7387415359627684
100% Corpus,2,0.61,0.61,0.7474120592736584
100% Corpus,2,0.61,0.9099999999999999,0.7497313810920472
100% Corpus,2,0.61,symmetric,0.747849475046845
100% Corpus,2,0.9099999999999999,0.01,0.7552118897217939
100% Corpus,2,0.9099999999999999,0.31,0.7545037320597785
100% Corpus,2,0.9099999999999999,0.61,0.7486569878900191
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.7506697377849528
100% Corpus,2,0.9099999999999999,symmetric,0.7523796103933081
100% Corpus,2,symmetric,0.01,0.7584999836670419
100% Corpus,2,symmetric,0.31,0.7430545051365054
100% Corpus,2,symmetric,0.61,0.7424891151214259
100% Corpus,2,symmetric,0.9099999999999999,0.7371510671162049
100% Corpus,2,symmetric,symmetric,0.7450721022844633
100% Corpus,2,asymmetric,0.01,0.7573713078511173
100% Corpus,2,asymmetric,0.31,0.757936633106689
100% Corpus,2,asymmetric,0.61,
100% Corpus,2,asymmetric,0.9099999999999999,
100% Corpus,2,asymmetric,symmetric,0.7890379197006518
100% Corpus,3,0.01,0.01,0.7555887380151174
100% Corpus,3,0.01,0.31,0.7392794240865156
100% Corpus,3,0.01,0.61,0.7197894433323215
100% Corpus,3,0.01,0.9099999999999999,0.7240836154581604
100% Corpus,3,0.01,symmetric,0.7420412043236156
100% Corpus,3,0.31,0.01,0.7257761298822922
100% Corpus,3,0.31,0.31,0.7317085450043578
100% Corpus,3,0.31,0.61,0.7344886773725721
100% Corpus,3,0.31,0.9099999999999999,0.7353708654029129
100% Corpus,3,0.31,symmetric,0.7134057216144649
100% Corpus,3,0.61,0.01,0.7283891171829969
100% Corpus,3,0.61,0.31,0.7383440573826859
100% Corpus,3,0.61,0.61,0.7313845769697854
100% Corpus,3,0.61,0.9099999999999999,0.7285644246459414
100% Corpus,3,0.61,symmetric,0.7339262220852288
100% Corpus,3,0.9099999999999999,0.01,0.7335989427031958
100% Corpus,3,0.9099999999999999,0.31,0.7378039535494189
100% Corpus,3,0.9099999999999999,0.61,0.7332189765133155
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.7350948884698649
100% Corpus,3,0.9099999999999999,symmetric,0.7349429067169894
100% Corpus,3,symmetric,0.01,0.7296328823262849
100% Corpus,3,symmetric,0.31,0.7268406032428761
100% Corpus,3,symmetric,0.61,0.700993896405553
100% Corpus,3,symmetric,0.9099999999999999,0.7354196588119789
100% Corpus,3,symmetric,symmetric,0.7107438143765541
100% Corpus,3,asymmetric,0.01,
100% Corpus,3,asymmetric,0.31,
100% Corpus,3,asymmetric,0.61,
100% Corpus,3,asymmetric,0.9099999999999999,
100% Corpus,3,asymmetric,symmetric,
100% Corpus,4,0.01,0.01,
100% Corpus,4,0.01,0.31,
100% Corpus,4,0.01,0.61,
100% Corpus,4,0.01,0.9099999999999999,
100% Corpus,4,0.01,symmetric,
100% Corpus,4,0.31,0.01,
100% Corpus,4,0.31,0.31,0.7331685682490189
100% Corpus,4,0.31,0.61,
100% Corpus,4,0.31,0.9099999999999999,
100% Corpus,4,0.31,symmetric,0.740522439351273
100% Corpus,4,0.61,0.01,0.7266316837410004
100% Corpus,4,0.61,0.31,0.7156707681603738
100% Corpus,4,0.61,0.61,0.709898682092593
100% Corpus,4,0.61,0.9099999999999999,0.7069056092788552
100% Corpus,4,0.61,symmetric,0.725069774779476
100% Corpus,4,0.9099999999999999,0.01,0.7240930733512911
100% Corpus,4,0.9099999999999999,0.31,0.7080321557674326
100% Corpus,4,0.9099999999999999,0.61,0.6976277303862581
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.7060446386852561
100% Corpus,4,0.9099999999999999,symmetric,0.7120279078090741
100% Corpus,4,symmetric,0.01,0.733375141597771
100% Corpus,4,symmetric,0.31,
100% Corpus,4,symmetric,0.61,0.7365440374043469
100% Corpus,4,symmetric,0.9099999999999999,
100% Corpus,4,symmetric,symmetric,
100% Corpus,4,asymmetric,0.01,
100% Corpus,4,asymmetric,0.31,
100% Corpus,4,asymmetric,0.61,
100% Corpus,4,asymmetric,0.9099999999999999,
100% Corpus,4,asymmetric,symmetric,
100% Corpus,5,0.01,0.01,
100% Corpus,5,0.01,0.31,
100% Corpus,5,0.01,0.61,
100% Corpus,5,0.01,0.9099999999999999,0.7392451264985163
100% Corpus,5,0.01,symmetric,
100% Corpus,5,0.31,0.01,
100% Corpus,5,0.31,0.31,
100% Corpus,5,0.31,0.61,
100% Corpus,5,0.31,0.9099999999999999,
100% Corpus,5,0.31,symmetric,
100% Corpus,5,0.61,0.01,
100% Corpus,5,0.61,0.31,
100% Corpus,5,0.61,0.61,
100% Corpus,5,0.61,0.9099999999999999,
100% Corpus,5,0.61,symmetric,
100% Corpus,5,0.9099999999999999,0.01,
100% Corpus,5,0.9099999999999999,0.31,
100% Corpus,5,0.9099999999999999,0.61,
100% Corpus,5,0.9099999999999999,0.9099999999999999,
100% Corpus,5,0.9099999999999999,symmetric,
100% Corpus,5,symmetric,0.01,0.7467990039435055
100% Corpus,5,symmetric,0.31,0.7216102308681875
100% Corpus,5,symmetric,0.61,0.7385892008803304
100% Corpus,5,symmetric,0.9099999999999999,0.741538161305639
100% Corpus,5,symmetric,symmetric,
100% Corpus,5,asymmetric,0.01,
100% Corpus,5,asymmetric,0.31,
100% Corpus,5,asymmetric,0.61,
100% Corpus,5,asymmetric,0.9099999999999999,
100% Corpus,5,asymmetric,symmetric,
100% Corpus,6,0.01,0.01,
100% Corpus,6,0.01,0.31,
100% Corpus,6,0.01,0.61,
100% Corpus,6,0.01,0.9099999999999999,
100% Corpus,6,0.01,symmetric,
100% Corpus,6,0.31,0.01,
100% Corpus,6,0.31,0.31,
100% Corpus,6,0.31,0.61,
100% Corpus,6,0.31,0.9099999999999999,
100% Corpus,6,0.31,symmetric,
100% Corpus,6,0.61,0.01,
100% Corpus,6,0.61,0.31,
100% Corpus,6,0.61,0.61,
100% Corpus,6,0.61,0.9099999999999999,
100% Corpus,6,0.61,symmetric,
100% Corpus,6,0.9099999999999999,0.01,
100% Corpus,6,0.9099999999999999,0.31,
100% Corpus,6,0.9099999999999999,0.61,
100% Corpus,6,0.9099999999999999,0.9099999999999999,
100% Corpus,6,0.9099999999999999,symmetric,
100% Corpus,6,symmetric,0.01,
100% Corpus,6,symmetric,0.31,
100% Corpus,6,symmetric,0.61,
100% Corpus,6,symmetric,0.9099999999999999,
100% Corpus,6,symmetric,symmetric,
100% Corpus,6,asymmetric,0.01,
100% Corpus,6,asymmetric,0.31,
100% Corpus,6,asymmetric,0.61,
100% Corpus,6,asymmetric,0.9099999999999999,
100% Corpus,6,asymmetric,symmetric,
100% Corpus,7,0.01,0.01,
100% Corpus,7,0.01,0.31,
100% Corpus,7,0.01,0.61,
100% Corpus,7,0.01,0.9099999999999999,
100% Corpus,7,0.01,symmetric,
100% Corpus,7,0.31,0.01,
100% Corpus,7,0.31,0.31,
100% Corpus,7,0.31,0.61,
100% Corpus,7,0.31,0.9099999999999999,
100% Corpus,7,0.31,symmetric,
100% Corpus,7,0.61,0.01,
100% Corpus,7,0.61,0.31,
100% Corpus,7,0.61,0.61,
100% Corpus,7,0.61,0.9099999999999999,
100% Corpus,7,0.61,symmetric,
100% Corpus,7,0.9099999999999999,0.01,
100% Corpus,7,0.9099999999999999,0.31,
100% Corpus,7,0.9099999999999999,0.61,
100% Corpus,7,0.9099999999999999,0.9099999999999999,
100% Corpus,7,0.9099999999999999,symmetric,
100% Corpus,7,symmetric,0.01,
100% Corpus,7,symmetric,0.31,
100% Corpus,7,symmetric,0.61,
100% Corpus,7,symmetric,0.9099999999999999,
100% Corpus,7,symmetric,symmetric,
100% Corpus,7,asymmetric,0.01,
100% Corpus,7,asymmetric,0.31,
100% Corpus,7,asymmetric,0.61,
100% Corpus,7,asymmetric,0.9099999999999999,
100% Corpus,7,asymmetric,symmetric,
100% Corpus,8,0.01,0.01,
100% Corpus,8,0.01,0.31,
100% Corpus,8,0.01,0.61,
100% Corpus,8,0.01,0.9099999999999999,
100% Corpus,8,0.01,symmetric,
100% Corpus,8,0.31,0.01,
100% Corpus,8,0.31,0.31,
100% Corpus,8,0.31,0.61,
100% Corpus,8,0.31,0.9099999999999999,
100% Corpus,8,0.31,symmetric,
100% Corpus,8,0.61,0.01,
100% Corpus,8,0.61,0.31,
100% Corpus,8,0.61,0.61,
100% Corpus,8,0.61,0.9099999999999999,
100% Corpus,8,0.61,symmetric,
100% Corpus,8,0.9099999999999999,0.01,
100% Corpus,8,0.9099999999999999,0.31,
100% Corpus,8,0.9099999999999999,0.61,
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.7517276994707718
100% Corpus,8,0.9099999999999999,symmetric,
100% Corpus,8,symmetric,0.01,
100% Corpus,8,symmetric,0.31,
100% Corpus,8,symmetric,0.61,
100% Corpus,8,symmetric,0.9099999999999999,
100% Corpus,8,symmetric,symmetric,
100% Corpus,8,asymmetric,0.01,
100% Corpus,8,asymmetric,0.31,
100% Corpus,8,asymmetric,0.61,
100% Corpus,8,asymmetric,0.9099999999999999,
100% Corpus,8,asymmetric,symmetric,
100% Corpus,9,0.01,0.01,
100% Corpus,9,0.01,0.31,
100% Corpus,9,0.01,0.61,
100% Corpus,9,0.01,0.9099999999999999,
100% Corpus,9,0.01,symmetric,
100% Corpus,9,0.31,0.01,
100% Corpus,9,0.31,0.31,
100% Corpus,9,0.31,0.61,
100% Corpus,9,0.31,0.9099999999999999,
100% Corpus,9,0.31,symmetric,
100% Corpus,9,0.61,0.01,
100% Corpus,9,0.61,0.31,
100% Corpus,9,0.61,0.61,
100% Corpus,9,0.61,0.9099999999999999,
100% Corpus,9,0.61,symmetric,
100% Corpus,9,0.9099999999999999,0.01,
100% Corpus,9,0.9099999999999999,0.31,
100% Corpus,9,0.9099999999999999,0.61,
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.7571319735931307
100% Corpus,9,0.9099999999999999,symmetric,
100% Corpus,9,symmetric,0.01,
100% Corpus,9,symmetric,0.31,
100% Corpus,9,symmetric,0.61,
100% Corpus,9,symmetric,0.9099999999999999,
100% Corpus,9,symmetric,symmetric,
100% Corpus,9,asymmetric,0.01,
100% Corpus,9,asymmetric,0.31,
100% Corpus,9,asymmetric,0.61,
100% Corpus,9,asymmetric,0.9099999999999999,
100% Corpus,9,asymmetric,symmetric,
100% Corpus,10,0.01,0.01,
100% Corpus,10,0.01,0.31,
100% Corpus,10,0.01,0.61,
100% Corpus,10,0.01,0.9099999999999999,
100% Corpus,10,0.01,symmetric,
100% Corpus,10,0.31,0.01,
100% Corpus,10,0.31,0.31,
100% Corpus,10,0.31,0.61,
100% Corpus,10,0.31,0.9099999999999999,
100% Corpus,10,0.31,symmetric,
100% Corpus,10,0.61,0.01,
100% Corpus,10,0.61,0.31,
100% Corpus,10,0.61,0.61,
100% Corpus,10,0.61,0.9099999999999999,
100% Corpus,10,0.61,symmetric,
100% Corpus,10,0.9099999999999999,0.01,
100% Corpus,10,0.9099999999999999,0.31,
100% Corpus,10,0.9099999999999999,0.61,
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.7602321466581219
100% Corpus,10,0.9099999999999999,symmetric,
100% Corpus,10,symmetric,0.01,
100% Corpus,10,symmetric,0.31,
100% Corpus,10,symmetric,0.61,
100% Corpus,10,symmetric,0.9099999999999999,
100% Corpus,10,symmetric,symmetric,
100% Corpus,10,asymmetric,0.01,
100% Corpus,10,asymmetric,0.31,
100% Corpus,10,asymmetric,0.61,
100% Corpus,10,asymmetric,0.9099999999999999,
100% Corpus,10,asymmetric,symmetric,
